City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,jiangzi,28.95,89.6333,6.66,73,11,1.79,CN,1722212356
252,millville,39.4021,-75.0393,27.37,60,0,0.0,US,1722212357
253,eydhafushi,5.1033,73.0708,27.44,83,100,6.95,MV,1722212358
254,tosontsengel,48.7567,98.2839,14.07,74,28,0.37,MN,1722212359
255,smithers,54.7804,-127.1743,16.18,100,100,0.0,CA,1722212360
256,pita,10.8333,-12.5833,22.71,99,89,1.29,GN,1722212361
257,tibanbang,6.6315,126.1055,27.59,80,98,1.98,PH,1722212362
258,mogadishu,2.0371,45.3438,24.52,87,63,6.35,SO,1722212363
259,sao miguel do araguaia,-13.275,-50.1628,27.27,31,0,1.25,BR,1722212364
260,ghat,24.9647,10.1728,33.5,23,67,5.94,LY,1722212365
261,punta gorda,26.9298,-82.0454,30.01,86,20,3.09,US,1722212363
262,harnosand,62.6323,17.9379,16.0,64,88,9.4,SE,1722212369
263,zelenoborskiy,66.845,32.3622,11.99,74,5,1.28,RU,1722212370
264,coahuayana de hidalgo,18.7,-103.6583,30.53,67,18,2.15,MX,1722212372
265,selfoss,63.9331,-20.9971,11.38,90,100,2.75,IS,1722212373
266,lompoc,34.6391,-120.4579,24.08,70,0,7.72,US,1722212374
267,el alto,-4.2714,-81.2147,16.81,82,43,5.66,PE,1722212375
268,sao joao da barra,-21.6403,-41.0511,24.05,83,0,11.4,BR,1722212376
269,qui nhon,13.7667,109.2333,28.38,70,100,1.23,VN,1722212377
270,dali,25.7,100.1833,19.67,90,99,0.75,CN,1722212378
271,greenville,35.6127,-77.3663,26.01,71,0,0.0,US,1722212379
272,kalianget,-7.05,113.9333,27.15,69,29,3.43,ID,1722212381
273,zarand,30.8127,56.564,26.83,23,4,2.27,IR,1722212383
274,luganville,-15.5333,167.1667,25.39,64,87,3.72,VU,1722212384
275,alta,69.9689,23.2717,13.59,87,75,5.14,NO,1722212385
276,antonio enes,-16.2325,39.9086,19.64,87,0,3.05,MZ,1722212386
277,kuznetsk,53.1167,46.6004,14.53,91,92,2.13,RU,1722212387
278,hami,42.8,93.45,31.56,20,2,4.0,CN,1722212388
279,itoman,26.1247,127.6694,31.21,77,40,5.14,JP,1722212389
280,deniliquin,-35.5333,144.9667,9.37,69,11,4.68,AU,1722212390
281,betio village,1.358,172.9211,31.02,70,1,3.77,KI,1722212391
282,sitka,57.0531,-135.33,16.94,67,40,3.6,US,1722212392
283,la sarre,48.8002,-79.1996,22.65,71,84,3.55,CA,1722212393
284,sandnessjoen,66.0217,12.6316,10.29,85,24,4.14,NO,1722212394
285,sabancuy,18.9667,-91.1833,31.61,61,97,3.8,MX,1722212395
286,tamandare,-8.7597,-35.1047,24.03,87,36,4.04,BR,1722212397
